,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
385,Semliki Forest virus,Capra hircus,1,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,,Togaviridae
386,Seoul orthohantavirus,Apodemus agrarius,10,PCR,RODENTIA,MURIDAE,Apodemus,agrarius,Striped Field Mouse,Hantaviridae
387,Seoul orthohantavirus,Cricetulus barabensis,3,PCR,RODENTIA,CRICETIDAE,Cricetulus,barabensis,Striped Dwarf Hamster,Hantaviridae
388,Seoul orthohantavirus,Felis catus,2,PCR,CARNIVORA,FELIDAE,Felis,catus,,Hantaviridae
389,Seoul orthohantavirus,Hipposideros armiger,3,PCR,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,armiger,"Great Himalayan Leaf-nosed Bat, Great Leaf-nosed Bat, Great Roundleaf Bat",Hantaviridae
390,Seoul orthohantavirus,Hipposideros larvatus,1,PCR,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,larvatus,"Horsfield's Leaf-nosed Bat, Intermediate Roundleaf Bat, Intermediate Leaf-nosed Bat, Intermediat Roundleaf Bat",Hantaviridae
391,Seoul orthohantavirus,Hipposideros pomona,3,PCR,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,pomona,"Andersen's Leaf-nosed Bat, Pomona Leaf-nosed Bat, Pomona Roundleaf Bat",Hantaviridae
392,Seoul orthohantavirus,Homo sapiens,52,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
393,Seoul orthohantavirus,Mammelomys rattoides,2,PCR,RODENTIA,MURIDAE,Mammelomys,rattoides,"Lowland Mammelomys, Large Mosaic-tailed Rat, Large Melomys",Hantaviridae
394,Seoul orthohantavirus,Microtus fortis,2,PCR,RODENTIA,CRICETIDAE,Microtus,fortis,Reed Vole,Hantaviridae
395,Seoul orthohantavirus,Mus musculus,27,PCR,RODENTIA,MURIDAE,Mus,musculus,House Mouse,Hantaviridae
396,Seoul orthohantavirus,Rattus argentiventer,1,PCR,RODENTIA,MURIDAE,Rattus,argentiventer,"Ricefield Rat, Rice-field Rat",Hantaviridae
397,Seoul orthohantavirus,Rattus norvegicus,664,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Brown Rat,Hantaviridae
